id,name,status_name,type_name,agency_name,age,date_of_birth,date_of_death,nationality__nationality_name
516,Garrett Reisman,Retired,Government,National Aeronautics and Space Administration,57.0,1968-02-10,,
552,Nicole Stott,Retired,Government,National Aeronautics and Space Administration,62.0,1962-11-19,,
183,Liu Boming,Active,Government,China National Space Administration,58.0,1966-09-16,,
545,Robert L. Behnken,Retired,Government,National Aeronautics and Space Administration,55.0,1970-07-28,,
15,Douglas G. Hurley,Retired,Government,National Aeronautics and Space Administration,58.0,1966-10-21,,
303,Gerald P. Carr,Deceased,Government,National Aeronautics and Space Administration,88.0,1932-08-22,2020-08-26,
314,William R. Pogue,Deceased,Government,National Aeronautics and Space Administration,84.0,1930-01-23,2014-03-03,
51,Edward Gibson,Retired,Government,National Aeronautics and Space Administration,88.0,1936-11-08,,
295,Sergei Zalyotin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),63.0,1962-04-21,,
248,Vitaly Sevastyanov,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),74.0,1935-07-08,2010-04-05,
163,Pyotr Klimuk,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),83.0,1942-07-10,,
50,Owen K. Garriott,Deceased,Government,National Aeronautics and Space Administration,88.0,1930-11-22,2019-04-15,
99,Léopold Eyharts,Active,Government,European Space Agency,68.0,1957-04-28,,
444,Kent Rominger,Retired,Government,National Aeronautics and Space Administration,69.0,1956-08-07,,
372,Franklin Chang Díaz,Retired,Government,National Aeronautics and Space Administration,75.0,1950-04-05,,
386,Jim Wetherbee,Retired,Government,National Aeronautics and Space Administration,72.0,1952-11-27,,
275,Vladimir Vasyutin,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),50.0,1952-03-08,2002-07-19,
422,Kenneth Cockrell,Retired,Government,National Aeronautics and Space Administration,75.0,1950-04-09,,
405,Tamara E. Jernigan,Retired,Government,National Aeronautics and Space Administration,66.0,1959-05-07,,
471,Steven Lindsey,Retired,Government,National Aeronautics and Space Administration,65.0,1960-08-24,,
452,Richard M. Linnehan,Retired,Government,National Aeronautics and Space Administration,67.0,1957-09-19,,
310,Jack R. Lousma,Retired,Government,National Aeronautics and Space Administration,89.0,1936-02-29,,
449,John M. Grunsfeld,Retired,Government,National Aeronautics and Space Administration,66.0,1958-10-10,,
378,Jerry L. Ross,Retired,Government,National Aeronautics and Space Administration,77.0,1948-01-20,,
454,Scott E. Parazynski,Retired,Government,National Aeronautics and Space Administration,64.0,1961-07-28,,
410,Curtis Brown,Retired,Government,National Aeronautics and Space Administration,69.0,1956-03-11,,
391,Marsha Ivins,Retired,Government,National Aeronautics and Space Administration,74.0,1951-04-15,,
324,Story Musgrave,Retired,Government,National Aeronautics and Space Administration,90.0,1935-08-19,,
488,Mark Kelly,Retired,Government,National Aeronautics and Space Administration,61.0,1964-02-21,,
432,Thomas David Jones,Retired,Government,National Aeronautics and Space Administration,70.0,1955-01-22,,
443,Kevin R. Kregel,Retired,Government,National Aeronautics and Space Administration,68.0,1956-09-16,,
121,James Halsell,Retired,Government,National Aeronautics and Space Administration,68.0,1956-09-29,,
284,Boris Volynov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),90.0,1934-12-18,,
460,Scott Altman,Retired,Government,National Aeronautics and Space Administration,66.0,1959-08-15,,
474,Frederick W. Sturckow,Active,Private,Virgin Galactic,64.0,1961-08-11,,
450,Wendy B. Lawrence,Retired,Government,National Aeronautics and Space Administration,66.0,1959-07-02,,
146,Jeffrey Hoffman,Retired,Government,National Aeronautics and Space Administration,80.0,1944-11-02,,
374,Bonnie J. Dunbar,Retired,Government,National Aeronautics and Space Administration,76.0,1949-03-03,,
196,Ulf Merbold,Retired,Government,European Space Agency,84.0,1941-06-20,,
298,Vitaly Zholobov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),88.0,1937-06-18,,
441,Janice E. Voss,Deceased,Government,National Aeronautics and Space Administration,55.0,1956-10-08,2012-02-06,
464,Dominic L. Pudwill Gorie,Retired,Government,National Aeronautics and Space Administration,68.0,1957-05-02,,
483,Stephen Robinson,Retired,Government,National Aeronautics and Space Administration,69.0,1955-10-26,,
149,Scott Horowitz,Retired,Government,National Aeronautics and Space Administration,68.0,1957-03-24,,
439,Peter Wisoff,Retired,Government,National Aeronautics and Space Administration,67.0,1958-08-16,,
135,Terence Henricks,Retired,Government,National Aeronautics and Space Administration,73.0,1952-07-05,,
457,Joseph R. Tanner,Retired,Government,National Aeronautics and Space Administration,75.0,1950-01-21,,
88,Jean-Loup Chrétien,Retired,Government,National Center of Space Research,87.0,1938-08-20,,
434,James H. Newman,Retired,Government,National Aeronautics and Space Administration,68.0,1956-10-16,,
437,Donald A. Thomas,Retired,Government,National Aeronautics and Space Administration,70.0,1955-05-06,,
448,Michael L. Gernhardt,Retired,Government,National Aeronautics and Space Administration,69.0,1956-05-04,,
515,Stephanie Wilson,Active,Government,National Aeronautics and Space Administration,58.0,1966-09-27,,
2,Claude Nicollier,Retired,Government,European Space Agency,81.0,1944-09-02,,
427,Terrence W. Wilcutt,Retired,Government,National Aeronautics and Space Administration,75.0,1949-10-31,,
442,Brent W. Jett Jr.,Retired,Government,National Aeronautics and Space Administration,66.0,1958-10-05,,
431,Nancy J. Currie-Gregg,Retired,Government,National Aeronautics and Space Administration,66.0,1958-12-29,,
493,Mark L. Polansky,Retired,Government,National Aeronautics and Space Administration,69.0,1956-06-02,,
435,Ellen Ochoa,Retired,Government,National Aeronautics and Space Administration,67.0,1958-05-10,,
399,Brian Duffy,Retired,Government,National Aeronautics and Space Administration,72.0,1953-06-20,,
395,Kathryn C. Thornton,Retired,Government,National Aeronautics and Space Administration,73.0,1952-08-17,,
16,Christopher Ferguson,Active,Commercial,Boeing,64.0,1961-09-01,,
397,Michael A. Baker,Retired,Government,National Aeronautics and Space Administration,71.0,1953-10-27,,
456,Steven Smith,Retired,Government,National Aeronautics and Space Administration,66.0,1958-12-30,,
501,Patrick G. Forrester,Retired,Government,National Aeronautics and Space Administration,68.0,1957-03-31,,
426,Richard A. Searfoss,Deceased,Government,National Aeronautics and Space Administration,62.0,1956-06-05,2018-09-29,
425,Charles J. Precourt,Retired,Government,National Aeronautics and Space Administration,70.0,1955-06-29,,
472,Pamela Melroy,Retired,Government,National Aeronautics and Space Administration,63.0,1961-09-17,,
404,Linda M. Godwin,Retired,Government,National Aeronautics and Space Administration,73.0,1952-07-02,,
398,Robert D. Cabana,Retired,Government,National Aeronautics and Space Administration,76.0,1949-01-23,,
408,Andrew M. Allen,Retired,Government,National Aeronautics and Space Administration,70.0,1955-08-04,,
477,Robert Curbeam,Retired,Government,National Aeronautics and Space Administration,63.0,1962-03-05,,
117,Aleksei Gubarev,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),83.0,1931-03-29,2015-02-21,
512,Rex J. Walheim,Retired,Government,National Aeronautics and Space Administration,62.0,1962-10-10,,
