id,name,status_name,type_name,agency_name,age,date_of_birth,date_of_death,nationality
257,Anatoly Solovyev,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),77,1948-01-16,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
537,Sunita Williams,Active,Government,National Aeronautics and Space Administration,59,1965-09-19,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
216,Aleksey Ovchinin,Active,Government,Russian Federal Space Agency (ROSCOSMOS),53,1971-09-28,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
505,Donald Pettit,Active,Government,National Aeronautics and Space Administration,70,1955-04-20,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
584,Sergey Prokopyev,Active,Government,Russian Federal Space Agency (ROSCOSMOS),50,1975-02-19,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
17,Oleg Artemyev,Active,Government,Russian Federal Space Agency (ROSCOSMOS),54,1970-12-28,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
56,Viktor Afanasyev,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),76,1948-12-31,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
274,Yury Usachov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),67,1957-10-09,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
282,Sergey Aleksandrovich Volkov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),52,1973-04-01,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
278,Pavel Vinogradov,Active,Government,Russian Federal Space Agency (ROSCOSMOS),72,1953-08-31,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
256,Aleksandr Skvortsov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),59,1966-05-06,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
212,Oleg Novitskiy,Active,Government,Russian Federal Space Agency (ROSCOSMOS),53,1971-10-12,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
195,Musa Manarov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),74,1951-03-22,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
